name,value
"p[NASHUA_NH,9]",-105.59552000000001
"p[LITTLETON_MA,9]",-74.37411599223314
"p[PORTLAND_ME,9]",-180.15318000000002
"p[AUGUSTA_ME,9]",-230.1707620119468
"p[TURNERSFALLS_MA,9]",699.9999999999997
"p[NEWHAVEN2_CT,9]",556.7839012708497
"p[MYSTIC_CT,9]",-0.0
"p[FALLRIVER4_MA,9]",469.17251999999655
"p[FALLRIVER3_MA,9]",700.0000000000045
"p[MIDDLEBOROUGH2_MA,9]",669.6030658829535
"p[HYANNIS2_MA,9]",699.9999999999999
"p[BRATTLEBORO2_VT,9]",-0.0
"p[AUGUSTA2_ME,9]",700.0000000000001
"p[KINGSTON_NY,9]",-912.3676800000001
"p[ALBANY_NY,10]",-0.0
"p[GREENFIELD_MA,10]",-0.0
"p[HOLYOKE_MA,10]",-256.64044
"p[HARTFORD_CT,10]",-380.515
"p[PROSPECT_CT,10]",102.46485102855183
"p[NEWHAVEN_CT,10]",-0.0
"p[ANSONIA_CT,10]",-177.92881400000002
"p[SOUTHBURY_CT,10]",-397.25766
"p[DANBURY_CT,10]",-0.0
"p[GROTON_CT,10]",-0.0
"p[NEWLONDON_CT,10]",-0.0
"p[NEWLONDON2_CT,10]",-5.707725
"p[GROTON2_CT,10]",-0.0
"p[MARLBOROUGH_CT,10]",-0.0
"p[PROVIDENCE_RI,10]",-249.024
"p[BOSTON_MA,10]",-141.24478084145423
"p[WORCESTER_MA,10]",-0.0
"p[BRIMFIELD_MA,10]",-125.92916
"p[FALLRIVER_MA,10]",-0.0
"p[FALLRIVER2_MA,10]",-500.52855999999997
"p[BROCKTON_MA,10]",-154.63775363043754
"p[MIDDLEBOROUGH_MA,10]",-0.0
"p[HYANNIS_MA,10]",-218.78198999999998
"p[QUINCY_MA,10]",-245.960372
"p[BRATTLEBORO_VT,10]",-191.41472
"p[NASHUA_NH,10]",-112.66367
"p[LITTLETON_MA,10]",-87.8711846343407
"p[PORTLAND_ME,10]",-189.83312
"p[AUGUSTA_ME,10]",-245.97172908008497
"p[TURNERSFALLS_MA,10]",699.9999999999999
"p[NEWHAVEN2_CT,10]",556.2563732708496
"p[MYSTIC_CT,10]",-0.0
"p[FALLRIVER4_MA,10]",627.1019600000017
"p[FALLRIVER3_MA,10]",573.4266000000022
"p[MIDDLEBOROUGH2_MA,10]",678.8463348869119
"p[HYANNIS2_MA,10]",700.0000000000001
"p[BRATTLEBORO2_VT,10]",-0.0
"p[AUGUSTA2_ME,10]",699.9999999999999
"p[KINGSTON_NY,10]",-956.1854400000001
"p[ALBANY_NY,11]",-0.0
"p[GREENFIELD_MA,11]",-0.0
"p[HOLYOKE_MA,11]",-272.94974
"p[HARTFORD_CT,11]",-408.175
"p[PROSPECT_CT,11]",333.34862049219544
"p[NEWHAVEN_CT,11]",-0.0
"p[ANSONIA_CT,11]",-190.86263000000002
"p[SOUTHBURY_CT,11]",-426.1347
"p[DANBURY_CT,11]",-0.0
"p[GROTON_CT,11]",-0.0
"p[NEWLONDON_CT,11]",-0.0
"p[NEWLONDON2_CT,11]",-6.122625
"p[GROTON2_CT,11]",-0.0
"p[MARLBOROUGH_CT,11]",-0.0
"p[PROVIDENCE_RI,11]",-264.3168
"p[BOSTON_MA,11]",13.9812471277952
"p[WORCESTER_MA,11]",-0.0
"p[BRIMFIELD_MA,11]",-133.93186
"p[FALLRIVER_MA,11]",-0.0
"p[FALLRIVER2_MA,11]",-532.33676
"p[BROCKTON_MA,11]",-296.00730636956246
"p[MIDDLEBOROUGH_MA,11]",-0.0
"p[HYANNIS_MA,11]",-232.685415
"p[QUINCY_MA,11]",-261.59096200000005
"p[BRATTLEBORO_VT,11]",-201.98752000000002
"p[NASHUA_NH,11]",-121.04675999999999
"p[LITTLETON_MA,11]",-105.03677210274897
"p[PORTLAND_ME,11]",-195.7721
"p[AUGUSTA_ME,11]",-250.6523664840967
"p[TURNERSFALLS_MA,11]",700.0000000000003
"p[NEWHAVEN2_CT,11]",555.7474292708497
"p[MYSTIC_CT,11]",-0.0
"p[FALLRIVER4_MA,11]",627.1019600000017
"p[FALLRIVER3_MA,11]",605.234800000001
"p[MIDDLEBOROUGH2_MA,11]",654.1410200655638
"p[HYANNIS2_MA,11]",699.9999999999999
"p[BRATTLEBORO2_VT,11]",-0.0
"p[AUGUSTA2_ME,11]",699.9999999999987
"p[KINGSTON_NY,11]",-989.94576
"p[ALBANY_NY,12]",-0.0
"p[GREENFIELD_MA,12]",-0.0
"p[HOLYOKE_MA,12]",-285.76856000000004
"p[HARTFORD_CT,12]",-432.17499999999995
"p[PROSPECT_CT,12]",376.5795401856219
"p[NEWHAVEN_CT,12]",-0.0
"p[ANSONIA_CT,12]",-202.08503
"p[SOUTHBURY_CT,12]",-451.1907
"p[DANBURY_CT,12]",-0.0
"p[GROTON_CT,12]",-0.0
"p[NEWLONDON_CT,12]",-0.0
"p[NEWLONDON2_CT,12]",-6.482625
"p[GROTON2_CT,12]",-0.0
"p[MARLBOROUGH_CT,12]",-0.0
"p[PROVIDENCE_RI,12]",-280.81600000000003
"p[BOSTON_MA,12]",-9.023520894188135
"p[WORCESTER_MA,12]",-0.0
"p[BRIMFIELD_MA,12]",-140.22184000000001
"p[FALLRIVER_MA,12]",-0.0
"p[FALLRIVER2_MA,12]",-557.33744
"p[BROCKTON_MA,12]",-179.42379363043756
"p[MIDDLEBOROUGH_MA,12]",-0.0
"p[HYANNIS_MA,12]",-243.61326000000003
"p[QUINCY_MA,12]",-273.87632800000006
"p[BRATTLEBORO_VT,12]",-208.24608
"p[NASHUA_NH,12]",-125.98821000000001
"p[LITTLETON_MA,12]",-120.88157690551499
"p[PORTLAND_ME,12]",-198.74056
"p[AUGUSTA_ME,12]",-259.29282710928703
"p[TURNERSFALLS_MA,12]",699.9999999999999
"p[NEWHAVEN2_CT,12]",555.3058292708497
"p[MYSTIC_CT,12]",-0.0
"p[FALLRIVER4_MA,12]",627.1019600000017
"p[FALLRIVER3_MA,12]",630.2354800000006
"p[MIDDLEBOROUGH2_MA,12]",695.592702082953
"p[HYANNIS2_MA,12]",700.0
"p[BRATTLEBORO2_VT,12]",-0.0
"p[AUGUSTA2_ME,12]",700.0000000000005
"p[KINGSTON_NY,12]",-1009.65216
"p[ALBANY_NY,13]",-0.0
"p[GREENFIELD_MA,13]",-0.0
"p[HOLYOKE_MA,13]",-294.23072
"p[HARTFORD_CT,13]",-447.335
"p[PROSPECT_CT,13]",643.4569113948266
"p[NEWHAVEN_CT,13]",-0.0
"p[ANSONIA_CT,13]",-209.173846
"p[SOUTHBURY_CT,13]",-467.01774
"p[DANBURY_CT,13]",-0.0
"p[GROTON_CT,13]",-0.0
"p[NEWLONDON_CT,13]",-0.0
"p[NEWLONDON2_CT,13]",-6.710025
"p[GROTON2_CT,13]",-0.0
"p[MARLBOROUGH_CT,13]",-0.0
"p[PROVIDENCE_RI,13]",-287.3472
"p[BOSTON_MA,13]",-7.788798872204836
"p[WORCESTER_MA,13]",-0.0
"p[BRIMFIELD_MA,13]",-144.37408
"p[FALLRIVER_MA,13]",-0.0
"p[FALLRIVER2_MA,13]",-573.84128
"p[BROCKTON_MA,13]",-314.11596636956244
"p[MIDDLEBOROUGH_MA,13]",-0.0
"p[HYANNIS_MA,13]",-250.82712
"p[QUINCY_MA,13]",-281.98633600000005
"p[BRATTLEBORO_VT,13]",-211.05280000000002
"p[NASHUA_NH,13]",-128.36511000000002
"p[LITTLETON_MA,13]",-132.62645271416469
"p[PORTLAND_ME,13]",-197.64052
"p[AUGUSTA_ME,13]",-256.6868635792738
"p[TURNERSFALLS_MA,13]",699.9999999999997
"p[NEWHAVEN2_CT,13]",555.0268852708497
"p[MYSTIC_CT,13]",-0.0
"p[FALLRIVER4_MA,13]",627.1019600000017
"p[FALLRIVER3_MA,13]",646.7393200000015
"p[MIDDLEBOROUGH2_MA,13]",666.3759018695249
"p[HYANNIS2_MA,13]",700.0000000000002
"p[BRATTLEBORO2_VT,13]",-0.0
"p[AUGUSTA2_ME,13]",700.0000000000011
"p[KINGSTON_NY,13]",-1027.58112
"p[ALBANY_NY,14]",-0.0
"p[GREENFIELD_MA,14]",-0.0
"p[HOLYOKE_MA,14]",-299.9752
"p[HARTFORD_CT,14]",-461.275
"p[PROSPECT_CT,14]",584.806586028244
"p[NEWHAVEN_CT,14]",-0.0
"p[ANSONIA_CT,14]",-215.69219
"p[SOUTHBURY_CT,14]",-481.5711
"p[DANBURY_CT,14]",-0.0
"p[GROTON_CT,14]",-0.0
"p[NEWLONDON_CT,14]",-0.0
"p[NEWLONDON2_CT,14]",-6.919125
"p[GROTON2_CT,14]",-0.0
"p[MARLBOROUGH_CT,14]",-0.0
"p[PROVIDENCE_RI,14]",-296.2848
"p[BOSTON_MA,14]",-13.66529487220481
"p[WORCESTER_MA,14]",-0.0
"p[BRIMFIELD_MA,14]",-147.1928
"p[FALLRIVER_MA,14]",-0.0
"p[FALLRIVER2_MA,14]",-585.0448
"p[BROCKTON_MA,14]",-205.5793454814998
"p[MIDDLEBOROUGH_MA,14]",-0.0
"p[HYANNIS_MA,14]",-255.7242
"p[QUINCY_MA,14]",-287.49176
"p[BRATTLEBORO_VT,14]",-214.2896
"p[NASHUA_NH,14]",-131.55516
"p[LITTLETON_MA,14]",-133.89097905133275
"p[PORTLAND_ME,14]",-198.41096000000002
"p[AUGUSTA_ME,14]",-251.00778089405694
"p[TURNERSFALLS_MA,14]",699.9999999999997
"p[NEWHAVEN2_CT,14]",554.7703892708496
"p[MYSTIC_CT,14]",-0.0
"p[FALLRIVER4_MA,14]",585.0447999999984
"p[FALLRIVER3_MA,14]",700.0000000000045
"p[MIDDLEBOROUGH2_MA,14]",699.999999999997
"p[HYANNIS2_MA,14]",699.9999999999999
"p[BRATTLEBORO2_VT,14]",-0.0
"p[AUGUSTA2_ME,14]",699.9999999999999
"p[KINGSTON_NY,14]",-1039.05168
"p[ALBANY_NY,15]",-0.0
"p[GREENFIELD_MA,15]",-0.0
"p[HOLYOKE_MA,15]",-302.77016
"p[HARTFORD_CT,15]",-467.38
"p[PROSPECT_CT,15]",620.8428014225389
"p[NEWHAVEN_CT,15]",-0.0
"p[ANSONIA_CT,15]",-218.54688800000002
"p[SOUTHBURY_CT,15]",-487.94472
"p[DANBURY_CT,15]",-0.0
"p[GROTON_CT,15]",-0.0
"p[NEWLONDON_CT,15]",-0.0
"p[NEWLONDON2_CT,15]",-7.0107
"p[GROTON2_CT,15]",-0.0
"p[MARLBOROUGH_CT,15]",-0.0
"p[PROVIDENCE_RI,15]",-299.72159999999997
"p[BOSTON_MA,15]",-16.524486872204818
"p[WORCESTER_MA,15]",-0.0
"p[BRIMFIELD_MA,15]",-148.56424
"p[FALLRIVER_MA,15]",-0.0
"p[FALLRIVER2_MA,15]",-590.49584
"p[BROCKTON_MA,15]",-213.9685912000279
"p[MIDDLEBOROUGH_MA,15]",-0.0
"p[HYANNIS_MA,15]",-258.10686
"p[QUINCY_MA,15]",-290.170408
"p[BRATTLEBORO_VT,15]",-215.58432
"p[NASHUA_NH,15]",-131.61771
"p[LITTLETON_MA,15]",-138.40036785256208
"p[PORTLAND_ME,15]",-194.12204
"p[AUGUSTA_ME,15]",-240.54024676859615
"p[TURNERSFALLS_MA,15]",699.9999999999997
"p[NEWHAVEN2_CT,15]",554.6580572708497
"p[MYSTIC_CT,15]",-0.0
"p[FALLRIVER4_MA,15]",590.4958400000011
"p[FALLRIVER3_MA,15]",700.0000000000045
"p[MIDDLEBOROUGH2_MA,15]",699.999999999997
"p[HYANNIS2_MA,15]",699.9999999999997
"p[BRATTLEBORO2_VT,15]",-0.0
"p[AUGUSTA2_ME,15]",700.0000000000013
"p[KINGSTON_NY,15]",-1044.52752
"p[ALBANY_NY,16]",-0.0
"p[GREENFIELD_MA,16]",-0.0
